koala,n_fixes,mcp95_ha,mcp50_ha,kde95_ha,kde50_ha,species
Aaliyah,9859,80.43,19.88,81.89,14.72,Koala
Aja,3089,107.55,19.06,99.14,17.06,Koala
Alec,5910,358.25,81.42,300.01,68.15,Koala
Amelia,12446,90.55,10.89,66.51,14.0,Koala
Annie,10792,261.5,94.89,311.49,75.8,Koala
Aymeric,2417,236.45,5.38,159.96,27.14,Koala
Blaise,4137,120.34,9.96,75.31,8.57,Koala
Callan,9960,48.4,11.21,42.27,9.09,Koala
Cameron,3008,3734.84,188.8,3194.92,446.48,Koala
Charlie,11357,144.47,9.17,122.92,11.44,Koala
Claudia,15189,4933.38,239.35,5252.83,744.75,Koala
Craig,19535,163.65,16.05,122.02,16.88,Koala
El,6671,3128.23,186.69,2500.5,369.04,Koala
Emily,18772,627.96,165.08,406.72,106.83,Koala
Finn,5028,1909.08,191.65,1356.68,239.18,Koala
Flynn,2337,509.3,17.21,388.87,44.25,Koala
Garth,5061,9609.04,3349.94,5437.85,979.25,Koala
Georgia,7284,20.35,8.97,26.72,7.09,Koala
Hannah,16176,3995.77,99.79,1678.44,233.25,Koala
Henry,33,84.02,9.65,327.29,90.42,Koala
Immy,14093,52.07,7.88,47.2,8.21,Koala
Isaiah,5307,276.87,73.2,260.01,69.11,Koala
Izzy,9681,90.02,17.65,84.51,18.21,Koala
Jackson,3530,431.32,124.79,456.55,126.19,Koala
James,1554,28.77,3.74,33.96,5.99,Koala
John,4177,109.53,8.84,91.27,14.05,Koala
Joy,1544,90.99,33.99,109.69,32.16,Koala
Kaelah,29074,36.11,8.94,36.68,8.65,Koala
Lincoln,2753,1075.85,111.2,904.99,173.69,Koala
Lotus,12903,29.02,11.28,32.25,7.78,Koala
Maxy,7365,171.35,35.24,193.74,40.58,Koala
Ned,7715,239.08,23.03,174.82,28.9,Koala
Niko,9403,330.44,84.76,309.81,63.46,Koala
Noah,7389,68.9,18.76,67.11,15.85,Koala
Olivia,15316,774.45,96.4,672.68,119.9,Koala
Ollie,18740,548.77,188.99,519.89,111.77,Koala
Pippah,6182,42.59,8.89,46.03,9.22,Koala
Robbie,599,199.7,18.29,180.34,32.34,Koala
Sam,6967,284.16,64.03,237.82,63.37,Koala
Sean,5018,2234.81,723.81,1345.95,249.91,Koala
Shinny,12864,30.46,5.22,25.89,3.96,Koala
ShooShoo,8625,219.85,17.05,104.51,23.32,Koala
Sienna,7583,38.46,4.87,36.93,6.46,Koala
Sophie,15817,162.55,51.12,193.85,45.68,Koala
Steve,7982,128.15,14.49,97.67,16.1,Koala
Sunita,6205,9.65,4.71,12.35,3.48,Koala
Van,119,1.75,0.4,3.27,0.83,Koala
Willow,4756,13.67,1.97,12.25,2.16,Koala
