koala,n_rows,n_fixes,first_fix,last_fix,days_tracked,total_dist_km,mean_daily_dist_km,mean_step_m,median_step_m
Aaliyah,56960,9859,2022-05-25 04:00:58+00:00,2024-07-17 22:00:32+00:00,784.7,227.24,0.29,23.1,6.9
Aja,15832,3089,2025-09-02 10:01:10+00:00,2026-03-09 22:01:32+00:00,188.5,60.65,0.322,19.6,8.2
Alec,32144,5910,2023-02-07 02:00:39+00:00,2024-04-17 23:02:10+00:00,435.9,180.59,0.414,30.6,7.5
Amelia,68671,12446,2022-05-24 03:05:12+00:00,2024-10-02 21:16:11+00:00,862.8,165.51,0.192,13.3,8.0
Annie,86146,10792,2022-09-15 02:01:10+00:00,2026-03-09 00:02:57+00:00,1270.9,328.44,0.258,30.4,8.4
Aymeric,8973,2417,2025-08-14 06:00:48+00:00,2026-01-17 23:00:21+00:00,156.7,46.01,0.294,19.0,9.6
Blaise,18253,4137,2025-08-16 02:01:18+00:00,2026-03-06 23:00:24+00:00,202.9,95.92,0.473,23.2,8.2
Callan,61843,9960,2023-02-08 02:28:04+00:00,2025-06-10 01:30:10+00:00,853.0,174.7,0.205,17.5,8.6
Cameron,19425,3008,2025-06-28 08:01:11+00:00,2026-02-24 02:03:41+00:00,240.8,76.28,0.317,25.4,8.0
Charlie,53167,11357,2022-07-28 02:00:56+00:00,2024-04-19 02:00:25+00:00,631.0,159.5,0.253,14.0,7.5
Claudia,66722,15189,2022-10-23 08:28:45+00:00,2024-11-23 08:00:39+00:00,762.0,341.87,0.449,22.5,7.4
Craig,84383,19535,2023-06-12 02:33:10+00:00,2026-01-22 02:00:17+00:00,955.0,453.88,0.475,23.2,9.6
El,34828,6671,2023-02-02 04:35:27+00:00,2024-05-10 00:02:14+00:00,462.8,188.74,0.408,28.3,9.5
Emily,88210,18772,2023-04-24 06:01:10+00:00,2026-03-10 22:00:39+00:00,1051.7,398.75,0.379,21.2,7.5
Finn,33379,5028,2023-06-10 08:01:42+00:00,2024-12-06 00:36:36+00:00,544.7,117.43,0.216,23.4,8.7
Flynn,24513,2337,2023-12-11 04:01:05+00:00,2024-10-29 04:00:27+00:00,323.0,118.79,0.368,50.9,11.1
Garth,25788,5061,2022-09-16 00:01:04+00:00,2023-07-29 00:00:22+00:00,316.0,132.76,0.42,26.2,7.8
Georgia,39435,7284,2024-10-17 10:00:40+00:00,2026-03-09 05:00:52+00:00,507.8,111.12,0.219,15.3,7.0
Hannah,75226,16176,2023-08-22 04:00:48+00:00,2026-03-14 02:00:42+00:00,934.9,313.97,0.336,19.4,7.8
Henry,252,33,2025-08-14 06:01:10+00:00,2025-08-16 22:00:48+00:00,2.7,5.02,1.884,157.0,7.9
Immy,79760,14093,2022-04-22 03:48:48+00:00,2025-01-27 00:00:49+00:00,1010.8,220.77,0.218,15.7,7.9
Isaiah,23972,5307,2023-04-19 04:00:58+00:00,2024-01-19 21:30:41+00:00,275.7,144.07,0.523,27.2,8.1
Izzy,58589,9681,2023-10-06 02:12:12+00:00,2026-03-13 00:00:40+00:00,888.9,175.53,0.197,18.1,7.6
Jackson,21786,3530,2023-06-11 08:51:10+00:00,2024-05-07 20:01:10+00:00,331.5,158.03,0.477,44.8,7.8
James,9874,1554,2024-04-23 02:01:18+00:00,2024-08-30 16:00:48+00:00,129.6,16.01,0.124,10.3,6.7
John,25580,4177,2023-10-02 02:00:40+00:00,2024-09-17 22:00:40+00:00,351.8,66.69,0.19,16.0,7.5
Joy,9539,1544,2023-12-14 06:01:18+00:00,2024-04-23 00:00:24+00:00,130.7,33.04,0.253,21.4,8.0
Kaelah,95641,29074,2023-09-30 08:55:04+00:00,2026-03-09 01:00:39+00:00,890.7,413.63,0.464,14.2,7.0
Lincoln,12808,2753,2024-02-26 10:00:39+00:00,2024-07-26 20:00:16+00:00,151.4,62.48,0.413,22.7,7.4
Lotus,54832,12903,2023-12-11 04:00:59+00:00,2026-03-11 02:01:09+00:00,820.9,208.65,0.254,16.2,8.9
Maxy,43858,7365,2022-05-07 02:00:39+00:00,2023-11-30 22:00:26+00:00,572.8,303.83,0.53,41.3,8.4
Ned,41912,7715,2024-08-21 07:20:31+00:00,2026-03-09 22:01:18+00:00,565.6,196.11,0.347,25.4,8.2
Niko,44298,9403,2022-09-16 04:00:39+00:00,2024-02-25 20:00:48+00:00,527.7,302.94,0.574,32.2,8.2
Noah,46378,7389,2023-02-07 07:09:10+00:00,2024-10-23 23:00:48+00:00,624.7,217.85,0.349,29.5,8.1
Olivia,87483,15316,2022-06-02 06:00:40+00:00,2026-03-05 16:00:26+00:00,1372.4,361.46,0.263,23.6,6.9
Ollie,103498,18740,2022-05-28 04:00:48+00:00,2026-03-10 00:00:40+00:00,1381.8,625.1,0.452,33.4,7.3
Pippah,37762,6182,2024-04-19 04:00:48+00:00,2025-09-18 04:01:16+00:00,517.0,105.48,0.204,17.1,8.1
Robbie,3761,599,2025-09-08 11:21:32+00:00,2025-10-28 18:00:58+00:00,50.3,30.24,0.601,50.6,9.5
Sam,41255,6967,2022-05-28 04:01:04+00:00,2023-10-24 02:01:10+00:00,513.9,281.47,0.548,40.4,7.3
Sean,31733,5018,2023-02-03 22:00:22+00:00,2024-08-16 02:00:58+00:00,559.2,161.96,0.29,32.3,8.3
Shinny,66185,12864,2023-02-08 22:01:21+00:00,2025-10-23 18:01:09+00:00,987.8,199.3,0.202,15.5,7.9
ShooShoo,27115,8625,2025-04-24 08:01:10+00:00,2025-11-10 00:01:18+00:00,199.7,102.72,0.514,11.9,7.3
Sienna,41258,7583,2022-05-27 06:00:48+00:00,2023-10-25 01:32:04+00:00,515.8,137.0,0.266,18.1,8.0
Sophie,101279,15817,2022-06-16 12:00:39+00:00,2026-03-09 02:30:18+00:00,1361.6,288.71,0.212,18.3,6.9
Steve,39949,7982,2023-06-10 08:00:48+00:00,2024-02-08 00:00:40+00:00,242.7,134.08,0.553,16.8,0.0
Sunita,38111,6205,2023-06-13 00:00:48+00:00,2024-11-08 01:00:48+00:00,514.0,92.63,0.18,14.9,7.7
Van,762,119,2022-04-27 02:01:28+00:00,2022-05-06 20:04:04+00:00,9.8,1.57,0.161,13.3,7.6
Willow,27552,4756,2022-04-24 04:00:18+00:00,2023-02-20 04:01:24+00:00,302.0,54.32,0.18,11.4,7.1
